,Ticker,Price
2022-11-23,JPM,136.47999572753906
2022-11-25,JPM,136.74000549316406
2022-11-28,JPM,134.35000610351562
2022-11-29,JPM,136.55999755859375
2022-11-30,JPM,138.17999267578125
2022-12-01,JPM,136.24000549316406
2022-12-02,JPM,135.16000366210938
2022-12-05,JPM,131.3699951171875
2022-12-06,JPM,131.58999633789062
2022-12-07,JPM,131.5
2022-12-08,JPM,132.8800048828125
2022-12-09,JPM,132.16000366210938
2022-12-12,JPM,134.2100067138672
2022-12-13,JPM,134.0800018310547
2022-12-14,JPM,133.41000366210938
2022-12-15,JPM,130.10000610351562
2022-12-16,JPM,129.2899932861328
2022-12-19,JPM,130.05999755859375
2022-12-20,JPM,130.69000244140625
2022-12-21,JPM,132.16000366210938
2022-12-22,JPM,130.66000366210938
2022-12-23,JPM,131.27999877929688
2022-12-27,JPM,131.74000549316406
2022-12-28,JPM,132.4600067138672
2022-12-29,JPM,133.22000122070312
2022-12-30,JPM,134.10000610351562
2023-01-03,JPM,135.1199951171875
2023-01-04,JPM,136.3800048828125
2023-01-05,JPM,135.35000610351562
2023-01-06,JPM,137.94000244140625
2023-01-09,JPM,137.3699951171875
2023-01-10,JPM,138.60000610351562
2023-01-11,JPM,139.6300048828125
2023-01-12,JPM,139.49000549316406
2023-01-13,JPM,143.00999450683594
2023-01-17,JPM,140.8000030517578
2023-01-18,JPM,136.57000732421875
2023-01-19,JPM,134.75
2023-01-20,JPM,135.0800018310547
2023-01-23,JPM,137.27000427246094
2023-01-24,JPM,138.4499969482422
2023-01-25,JPM,139.1199951171875
2023-01-26,JPM,139.97999572753906
2023-01-27,JPM,140.32000732421875
2023-01-30,JPM,139.1300048828125
2023-01-31,JPM,139.9600067138672
2023-02-01,JPM,139.58999633789062
2023-02-02,JPM,138.94000244140625
2023-02-03,JPM,141.08999633789062
2023-02-06,JPM,141.9199981689453
2023-02-07,JPM,143.64999389648438
2023-02-08,JPM,142.63999938964844
2023-02-09,JPM,140.4199981689453
2023-02-10,JPM,141.0399932861328
2023-02-13,JPM,142.57000732421875
2023-02-14,JPM,143.1999969482422
2023-02-15,JPM,143.8000030517578
2023-02-16,JPM,141.82000732421875
2023-02-17,JPM,142.24000549316406
2023-02-21,JPM,139.6300048828125
2023-02-22,JPM,138.55999755859375
2023-02-23,JPM,139.6699981689453
2023-02-24,JPM,140.92999267578125
2023-02-27,JPM,142.16000366210938
2023-02-28,JPM,143.35000610351562
2023-03-01,JPM,142.5500030517578
2023-03-02,JPM,141.07000732421875
2023-03-03,JPM,143.66000366210938
2023-03-06,JPM,142.82000732421875
2023-03-07,JPM,138.6199951171875
2023-03-08,JPM,137.8000030517578
2023-03-09,JPM,130.33999633789062
2023-03-10,JPM,133.64999389648438
2023-03-13,JPM,131.25
2023-03-14,JPM,134.6199951171875
2023-03-15,JPM,128.25999450683594
2023-03-16,JPM,130.75
2023-03-17,JPM,125.80999755859375
2023-03-20,JPM,127.13999938964844
2023-03-21,JPM,130.5500030517578
2023-03-22,JPM,127.18000030517578
2023-03-23,JPM,126.83999633789062
2023-03-24,JPM,124.91000366210938
2023-03-27,JPM,128.49000549316406
2023-03-28,JPM,128.8800048828125
2023-03-29,JPM,129.13999938964844
2023-03-30,JPM,128.75
2023-03-31,JPM,130.30999755859375
2023-04-03,JPM,130.16000366210938
2023-04-04,JPM,128.4199981689453
2023-04-05,JPM,127.61000061035156
2023-04-06,JPM,127.47000122070312
2023-04-10,JPM,127.88999938964844
2023-04-11,JPM,128.52000427246094
2023-04-12,JPM,128.5
2023-04-13,JPM,128.99000549316406
2023-04-14,JPM,138.72999572753906
2023-04-17,JPM,139.8300018310547
2023-04-18,JPM,141.39999389648438
2023-04-19,JPM,141.22000122070312
2023-04-20,JPM,140.80999755859375
2023-04-21,JPM,140.5399932861328
2023-04-24,JPM,140.72999572753906
2023-04-25,JPM,137.6699981689453
2023-04-26,JPM,135.22999572753906
2023-04-27,JPM,137.0500030517578
